Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
94.147, 24.254, -21.330, -27.229, 6.185, 3.440, 87.771, -19.594
94.623, 23.816, -21.916, -29.264, 6.193, 3.460, 88.246, -19.639
95.090, 23.365, -22.539, -31.175, 6.199, 3.480, 88.711, -19.679
95.548, 22.901, -23.198, -32.959, 6.206, 3.500, 89.168, -19.716
95.997, 22.423, -23.891, -34.614, 6.212, 3.520, 89.615, -19.749
96.436, 21.931, -24.613, -36.141, 6.218, 3.540, 90.053, -19.779
96.864, 21.424, -25.364, -37.542, 6.223, 3.560, 90.480, -19.806
97.282, 20.901, -26.141, -38.817, 6.228, 3.580, 90.897, -19.830
97.689, 20.367, -26.698, -27.889, 6.233, 3.600, 91.304, -19.852
98.086, 19.827, -27.006, -15.390, 6.237, 3.620, 91.700, -19.871
98.472, 19.281, -27.300, -14.681, 6.241, 3.640, 92.086, -19.888
98.846, 18.729, -27.601, -15.049, 6.245, 3.660, 92.460, -19.903
99.210, 18.176, -27.662, -3.038, 6.249, 3.680, 92.823, -19.916
99.562, 17.627, -27.451, 10.519, 6.252, 3.700, 93.175, -19.928
99.904, 17.082, -27.211, 12.031, 6.255, 3.720, 93.517, -19.938
100.235, 16.543, -26.963, 12.398, 6.258, 3.740, 93.848, -19.947
100.555, 16.009, -26.706, 12.810, 6.260, 3.760, 94.168, -19.955
100.864, 15.480, -26.441, 13.259, 6.263, 3.780, 94.477, -19.962
101.164, 14.957, -26.166, 13.740, 6.265, 3.800, 94.776, -19.968
101.452, 14.439, -25.882, 14.245, 6.267, 3.820, 95.065, -19.973
101.731, 13.927, -25.586, 14.771, 6.268, 3.840, 95.344, -19.977
101.999, 13.422, -25.280, 15.312, 6.270, 3.860, 95.612, -19.981
102.258, 12.923, -24.963, 15.865, 6.272, 3.880, 95.870, -19.984
102.506, 12.430, -24.634, 16.426, 6.273, 3.900, 96.119, -19.987
102.745, 11.944, -24.294, 16.992, 6.274, 3.920, 96.358, -19.989
102.975, 11.465, -23.943, 17.560, 6.275, 3.940, 96.587, -19.991
103.194, 10.994, -23.580, 18.128, 6.276, 3.960, 96.807, -19.993
103.405, 10.529, -23.207, 18.693, 6.277, 3.980, 97.018, -19.994
103.606, 10.073, -22.822, 19.254, 6.278, 4.000, 97.219, -19.995
103.799, 9.625, -22.425, 19.809, 6.279, 4.020, 97.412, -19.996
103.983, 9.184, -22.018, 20.355, 6.279, 4.040, 97.595, -19.997
104.158, 8.752, -21.600, 20.892, 6.280, 4.060, 97.770, -19.997
104.324, 8.329, -21.172, 21.417, 6.280, 4.080, 97.937, -19.998
104.483, 7.914, -20.733, 21.930, 6.281, 4.100, 98.095, -19.998
104.633, 7.508, -20.285, 22.430, 6.281, 4.120, 98.245, -19.999
104.775, 7.112, -19.827, 22.915, 6.281, 4.140, 98.388, -19.999
104.909, 6.725, -19.359, 23.385, 6.282, 4.160, 98.522, -19.999
105.036, 6.347, -18.882, 23.839, 6.282, 4.180, 98.649, -19.999
105.156, 5.979, -18.397, 24.276, 6.282, 4.200, 98.769, -20.000
105.268, 5.621, -17.903, 24.695, 6.282, 4.220, 98.881, -20.000
105.374, 5.273, -17.401, 25.096, 6.282, 4.240, 98.987, -20.000
105.473, 4.935, -16.891, 25.479, 6.283, 4.260, 99.085, -20.000
105.565, 4.608, -16.374, 25.842, 6.283, 4.280, 99.177, -20.000
105.651, 4.291, -15.851, 26.187, 6.283, 4.300, 99.263, -20.000
105.730, 3.984, -15.320, 26.513, 6.283, 4.320, 99.343, -20.000
105.804, 3.689, -14.784, 26.819, 6.283, 4.340, 99.417, -20.000
105.872, 3.404, -14.242, 27.107, 6.283, 4.360, 99.485, -20.000
105.935, 3.130, -13.694, 27.375, 6.283, 4.380, 99.547, -20.000
105.992, 2.867, -13.142, 27.625, 6.283, 4.400, 99.605, -20.000
106.044, 2.615, -12.585, 27.856, 6.283, 4.420, 99.657, -20.000
106.092, 2.375, -12.023, 28.069, 6.283, 4.440, 99.704, -20.000
106.135, 2.146, -11.458, 28.264, 6.283, 4.460, 99.747, -20.000
106.173, 1.928, -10.889, 28.442, 6.283, 4.480, 99.786, -20.000
106.208, 1.722, -10.317, 28.604, 6.283, 4.500, 99.820, -20.000
106.238, 1.527, -9.742, 28.749, 6.283, 4.520, 99.851, -20.000
106.265, 1.343, -9.165, 28.879, 6.283, 4.540, 99.878, -20.000
106.289, 1.172, -8.585, 28.994, 6.283, 4.560, 99.901, -20.000
106.309, 1.012, -8.003, 29.096, 6.283, 4.580, 99.921, -20.000
106.326, 0.863, -7.419, 29.184, 6.283, 4.600, 99.939, -20.000
106.341, 0.727, -6.834, 29.260, 6.283, 4.620, 99.953, -20.000
106.353, 0.602, -6.247, 29.325, 6.283, 4.640, 99.965, -20.000
106.362, 0.488, -5.660, 29.379, 6.283, 4.660, 99.975, -20.000
106.370, 0.387, -5.071, 29.424, 6.283, 4.680, 99.983, -20.000
106.376, 0.297, -4.482, 29.460, 6.283, 4.700, 99.989, -20.000
106.380, 0.220, -3.892, 29.488, 6.283, 4.720, 99.993, -20.000
106.384, 0.154, -3.302, 29.509, 6.283, 4.740, 99.996, -20.000
106.386, 0.099, -2.712, 29.524, 6.283, 4.760, 99.998, -20.000
106.387, 0.057, -2.121, 29.535, 6.283, 4.780, 99.999, -20.000
106.387, 0.026, -1.530, 29.541, 6.283, 4.800, 100.000, -20.000
106.387, 0.007, -0.939, 29.544, 6.283, 4.820, 100.000, -20.000
106.387, 0.001, -0.348, 29.546, 0.000, 4.840, 100.000, -20.000
106.387, 0.000, -0.026, 16.096, 0.000, 4.860, 100.000, -20.000
