Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
95.966, 74.558, 12.529, -34.014, 0.189, 2.880, 95.454, -2.031
97.462, 74.795, 11.851, -33.885, 0.192, 2.900, 96.923, -1.747
98.962, 75.018, 11.176, -33.749, 0.194, 2.920, 98.396, -1.460
100.467, 75.228, 10.504, -33.605, 0.196, 2.940, 99.872, -1.168
101.975, 75.425, 9.835, -33.456, 0.198, 2.960, 101.351, -0.872
103.488, 75.609, 9.169, -33.300, 0.201, 2.980, 102.833, -0.573
105.003, 75.779, 8.506, -33.139, 0.203, 3.000, 104.318, -0.269
106.522, 75.936, 7.847, -32.972, 0.204, 3.020, 105.806, 0.038
108.043, 76.079, 7.191, -32.800, 0.206, 3.040, 107.295, 0.348
109.568, 76.210, 6.538, -32.625, 0.208, 3.060, 108.787, 0.661
111.094, 76.328, 5.889, -32.445, 0.210, 3.080, 110.280, 0.978
112.623, 76.433, 5.244, -32.261, 0.211, 3.100, 111.775, 1.297
114.153, 76.525, 4.603, -32.074, 0.212, 3.120, 113.272, 1.619
115.685, 76.604, 3.965, -31.884, 0.214, 3.140, 114.769, 1.943
117.219, 76.671, 3.331, -31.691, 0.215, 3.160, 116.267, 2.269
118.753, 76.725, 2.701, -31.496, 0.216, 3.180, 117.766, 2.596
120.289, 76.766, 2.075, -31.299, 0.217, 3.200, 119.266, 2.926
121.825, 76.795, 1.453, -31.100, 0.218, 3.220, 120.766, 3.257
123.361, 76.812, 0.835, -30.899, 0.218, 3.240, 122.266, 3.589
124.897, 76.817, 0.221, -30.697, 0.219, 3.260, 123.766, 3.922
126.433, 76.809, -0.389, -30.494, 0.219, 3.280, 125.265, 4.256
127.969, 76.789, -0.995, -30.290, 0.219, 3.300, 126.764, 4.590
129.504, 76.757, -1.596, -30.085, 0.220, 3.320, 128.262, 4.924
131.038, 76.712, -2.226, -31.467, 0.220, 3.340, 129.760, 5.258
132.571, 76.649, -3.146, -46.014, 0.220, 3.360, 131.256, 5.592
134.103, 76.569, -4.029, -44.171, 0.219, 3.380, 132.750, 5.926
135.632, 76.477, -4.613, -29.183, 0.219, 3.400, 134.243, 6.259
137.160, 76.373, -5.192, -28.978, 0.219, 3.420, 135.734, 6.590
138.685, 76.257, -5.768, -28.773, 0.218, 3.440, 137.223, 6.921
140.208, 76.131, -6.339, -28.569, 0.217, 3.460, 138.710, 7.250
141.727, 75.993, -6.907, -28.366, 0.217, 3.480, 140.194, 7.577
143.244, 75.843, -7.470, -28.164, 0.216, 3.500, 141.676, 7.902
144.758, 75.683, -8.029, -27.963, 0.215, 3.520, 143.154, 8.226
146.268, 75.511, -8.584, -27.764, 0.214, 3.540, 144.630, 8.547
147.775, 75.328, -9.136, -27.567, 0.212, 3.560, 146.103, 8.865
149.277, 75.134, -9.683, -27.372, 0.211, 3.580, 147.572, 9.180
150.776, 74.930, -10.227, -27.180, 0.209, 3.600, 149.037, 9.493
152.270, 74.715, -10.767, -26.990, 0.208, 3.620, 150.499, 9.803
153.760, 74.489, -11.303, -26.804, 0.206, 3.640, 151.957, 10.109
155.245, 74.252, -11.835, -26.620, 0.204, 3.660, 153.411, 10.411
156.725, 74.005, -12.364, -26.441, 0.202, 3.680, 154.861, 10.710
158.200, 73.747, -12.889, -26.265, 0.200, 3.700, 156.306, 11.005
159.670, 73.479, -13.411, -26.094, 0.198, 3.720, 157.746, 11.296
161.134, 73.200, -13.930, -25.928, 0.196, 3.740, 159.182, 11.583
162.592, 72.911, -14.445, -25.767, 0.194, 3.760, 160.613, 11.865
164.044, 72.612, -14.957, -25.612, 0.191, 3.780, 162.038, 12.143
165.490, 72.303, -15.467, -25.463, 0.189, 3.800, 163.458, 12.416
166.930, 71.983, -15.973, -25.321, 0.186, 3.820, 164.873, 12.685
168.363, 71.654, -16.477, -25.185, 0.184, 3.840, 166.281, 12.949
169.789, 71.314, -16.978, -25.057, 0.181, 3.860, 167.684, 13.207
171.209, 70.965, -17.477, -24.937, 0.178, 3.880, 169.080, 13.461
172.621, 70.605, -17.973, -24.825, 0.175, 3.900, 170.470, 13.709
174.025, 70.236, -18.467, -24.721, 0.173, 3.920, 171.854, 13.952
175.422, 69.856, -18.960, -24.627, 0.170, 3.940, 173.231, 14.190
176.812, 69.467, -19.451, -24.543, 0.167, 3.960, 174.600, 14.422
178.193, 69.069, -19.940, -24.468, 0.163, 3.980, 175.963, 14.649
179.566, 68.660, -20.428, -24.403, 0.160, 4.000, 177.318, 14.871
180.931, 68.242, -20.915, -24.348, 0.157, 4.020, 178.666, 15.087
182.288, 67.814, -21.401, -24.305, 0.154, 4.040, 180.006, 15.297
183.635, 67.376, -21.887, -24.272, 0.151, 4.060, 181.338, 15.501
184.974, 66.929, -22.372, -24.251, 0.148, 4.080, 182.661, 15.700
186.303, 66.471, -22.857, -24.240, 0.144, 4.100, 183.977, 15.894
187.623, 66.005, -23.341, -24.242, 0.141, 4.120, 185.283, 16.081
188.934, 65.528, -23.827, -24.254, 0.138, 4.140, 186.581, 16.263
190.235, 65.042, -24.312, -24.279, 0.134, 4.160, 187.870, 16.440
191.525, 64.546, -24.798, -24.314, 0.131, 4.180, 189.150, 16.610
192.806, 64.040, -25.286, -24.361, 0.128, 4.200, 190.420, 16.776
194.077, 63.525, -25.774, -24.419, 0.124, 4.220, 191.680, 16.935
195.337, 62.999, -26.264, -24.489, 0.121, 4.240, 192.931, 17.089
196.586, 62.464, -26.755, -24.569, 0.118, 4.260, 194.171, 17.238
197.824, 61.919, -27.248, -24.660, 0.114, 4.280, 195.401, 17.381
199.052, 61.364, -27.744, -24.761, 0.111, 4.300, 196.621, 17.519
200.268, 60.800, -28.241, -24.872, 0.108, 4.320, 197.829, 17.652
201.472, 60.225, -28.741, -24.993, 0.104, 4.340, 199.027, 17.780
202.665, 59.640, -29.243, -25.123, 0.101, 4.360, 200.214, 17.902
203.846, 59.045, -29.749, -25.261, 0.098, 4.380, 201.389, 18.019
205.015, 58.440, -30.257, -25.408, 0.095, 4.400, 202.552, 18.132
206.171, 57.825, -30.768, -25.562, 0.092, 4.420, 203.703, 18.240
207.315, 57.199, -31.282, -25.724, 0.089, 4.440, 204.843, 18.343
208.446, 56.563, -31.800, -25.892, 0.086, 4.460, 205.970, 18.441
209.565, 55.916, -32.322, -26.066, 0.083, 4.480, 207.084, 18.535
210.670, 55.260, -32.847, -26.245, 0.080, 4.500, 208.186, 18.624
211.762, 54.593, -33.344, -24.883, 0.077, 4.520, 209.274, 18.710
212.840, 53.921, -33.558, -10.680, 0.074, 4.540, 210.350, 18.791
213.905, 53.251, -33.518, 1.986, 0.071, 4.560, 211.412, 18.868
214.957, 52.581, -33.482, 1.815, 0.068, 4.580, 212.461, 18.941
215.995, 51.912, -33.449, 1.647, 0.066, 4.600, 213.497, 19.010
217.020, 51.244, -33.419, 1.482, 0.063, 4.620, 214.520, 19.076
218.032, 50.576, -33.393, 1.320, 0.060, 4.640, 215.529, 19.138
219.030, 49.909, -33.370, 1.161, 0.058, 4.660, 216.526, 19.197
220.015, 49.242, -33.349, 1.006, 0.055, 4.680, 217.509, 19.253
220.986, 48.575, -33.332, 0.854, 0.053, 4.700, 218.479, 19.306
221.944, 47.909, -33.318, 0.706, 0.051, 4.720, 219.436, 19.355
222.889, 47.243, -33.307, 0.562, 0.048, 4.740, 220.380, 19.402
223.821, 46.577, -33.299, 0.422, 0.046, 4.760, 221.310, 19.446
224.739, 45.911, -33.293, 0.286, 0.044, 4.780, 222.227, 19.487
225.644, 45.245, -33.290, 0.155, 0.042, 4.800, 223.131, 19.526
226.535, 44.579, -33.289, 0.028, 0.040, 4.820, 224.022, 19.562
227.414, 43.913, -33.291, -0.095, 0.038, 4.840, 224.900, 19.597
228.279, 43.248, -33.295, -0.213, 0.036, 4.860, 225.764, 19.629
229.130, 42.582, -33.302, -0.327, 0.034, 4.880, 226.615, 19.658
229.968, 41.915, -33.311, -0.436, 0.032, 4.900, 227.453, 19.686
230.793, 41.249, -33.321, -0.541, 0.031, 4.920, 228.278, 19.712
231.605, 40.582, -33.334, -0.641, 0.029, 4.940, 229.089, 19.737
232.403, 39.915, -33.349, -0.737, 0.027, 4.960, 229.887, 19.759
233.188, 39.248, -33.366, -0.828, 0.026, 4.980, 230.672, 19.780
233.960, 38.580, -33.384, -0.914, 0.024, 5.000, 231.443, 19.799
234.718, 37.912, -33.404, -0.996, 0.023, 5.020, 232.201, 19.817
235.463, 37.244, -33.425, -1.073, 0.022, 5.040, 232.946, 19.834
236.195, 36.575, -33.448, -1.146, 0.020, 5.060, 233.677, 19.849
236.913, 35.905, -33.472, -1.215, 0.019, 5.080, 234.395, 19.864
237.617, 35.235, -33.498, -1.279, 0.018, 5.100, 235.100, 19.877
238.309, 34.565, -33.525, -1.338, 0.017, 5.120, 235.791, 19.889
238.987, 33.894, -33.553, -1.394, 0.016, 5.140, 236.469, 19.900
239.651, 33.222, -33.582, -1.444, 0.015, 5.160, 237.133, 19.910
240.302, 32.550, -33.611, -1.491, 0.014, 5.180, 237.784, 19.919
240.940, 31.877, -33.642, -1.534, 0.013, 5.200, 238.421, 19.927
241.564, 31.204, -33.673, -1.572, 0.012, 5.220, 239.045, 19.935
242.174, 30.529, -33.706, -1.607, 0.011, 5.240, 239.656, 19.942
242.771, 29.855, -33.738, -1.637, 0.010, 5.260, 240.253, 19.948
243.355, 29.179, -33.772, -1.663, 0.009, 5.280, 240.837, 19.954
243.925, 28.503, -33.805, -1.685, 0.009, 5.300, 241.407, 19.959
244.481, 27.826, -33.839, -1.704, 0.008, 5.320, 241.963, 19.964
245.024, 27.149, -33.874, -1.719, 0.007, 5.340, 242.506, 19.968
245.554, 26.471, -33.908, -1.730, 0.007, 5.360, 243.036, 19.972
246.070, 25.792, -33.943, -1.737, 0.006, 5.380, 243.551, 19.975
246.572, 25.112, -33.978, -1.740, 0.006, 5.400, 244.054, 19.978
247.061, 24.432, -34.013, -1.740, 0.005, 5.420, 244.542, 19.981
247.536, 23.751, -34.047, -1.737, 0.005, 5.440, 245.017, 19.984
247.997, 23.069, -34.082, -1.730, 0.004, 5.460, 245.479, 19.986
248.445, 22.387, -34.116, -1.720, 0.004, 5.480, 245.926, 19.988
248.879, 21.704, -34.151, -1.706, 0.004, 5.500, 246.360, 19.989
249.299, 21.020, -34.184, -1.689, 0.003, 5.520, 246.781, 19.991
