Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
148.114, 76.315, -5.313, -32.094, 0.208, 3.620, 146.373, 29.372
149.638, 76.196, -5.959, -32.281, 0.206, 3.640, 147.865, 29.685
151.160, 76.064, -6.608, -32.464, 0.204, 3.660, 149.354, 29.995
152.678, 75.919, -7.261, -32.644, 0.202, 3.680, 150.841, 30.302
154.193, 75.760, -7.917, -32.819, 0.200, 3.700, 152.326, 30.605
155.705, 75.589, -8.577, -32.990, 0.198, 3.720, 153.808, 30.904
157.213, 75.404, -9.240, -33.156, 0.196, 3.740, 155.287, 31.200
158.717, 75.206, -9.907, -33.317, 0.194, 3.760, 156.762, 31.491
160.217, 74.994, -10.576, -33.472, 0.191, 3.780, 158.234, 31.778
161.713, 74.769, -11.248, -33.621, 0.189, 3.800, 159.703, 32.061
163.203, 74.531, -11.924, -33.764, 0.186, 3.820, 161.167, 32.339
164.689, 74.279, -12.602, -33.899, 0.184, 3.840, 162.628, 32.612
166.169, 74.013, -13.282, -34.027, 0.181, 3.860, 164.083, 32.880
167.644, 73.734, -13.965, -34.147, 0.178, 3.880, 165.534, 33.144
169.113, 73.441, -14.650, -34.259, 0.175, 3.900, 166.980, 33.402
170.575, 73.134, -15.338, -34.363, 0.173, 3.920, 168.421, 33.655
172.031, 72.814, -16.027, -34.457, 0.170, 3.940, 169.856, 33.903
173.481, 72.479, -16.718, -34.541, 0.167, 3.960, 171.285, 34.146
174.924, 72.131, -17.410, -34.616, 0.163, 3.980, 172.708, 34.383
176.359, 71.769, -18.104, -34.681, 0.160, 4.000, 174.125, 34.614
177.787, 71.393, -18.798, -34.735, 0.157, 4.020, 175.534, 34.840
179.207, 71.003, -19.494, -34.779, 0.154, 4.040, 176.937, 35.060
180.619, 70.599, -20.190, -34.812, 0.151, 4.060, 178.333, 35.274
182.023, 70.182, -20.887, -34.833, 0.148, 4.080, 179.721, 35.483
183.418, 69.750, -21.584, -34.843, 0.144, 4.100, 181.101, 35.686
184.804, 69.304, -22.280, -34.842, 0.141, 4.120, 182.473, 35.883
186.181, 68.845, -22.977, -34.830, 0.138, 4.140, 183.837, 36.074
187.548, 68.371, -23.673, -34.805, 0.134, 4.160, 185.192, 36.260
188.906, 67.884, -24.369, -34.770, 0.131, 4.180, 186.537, 36.439
190.253, 67.383, -25.063, -34.723, 0.128, 4.200, 187.874, 36.613
191.591, 66.868, -25.756, -34.664, 0.124, 4.220, 189.200, 36.781
192.917, 66.339, -26.448, -34.595, 0.121, 4.240, 190.517, 36.943
194.233, 65.796, -27.139, -34.515, 0.118, 4.260, 191.824, 37.100
195.538, 65.239, -27.827, -34.424, 0.114, 4.280, 193.120, 37.251
196.832, 64.669, -28.513, -34.323, 0.111, 4.300, 194.405, 37.396
198.113, 64.085, -29.198, -34.212, 0.108, 4.320, 195.679, 37.536
199.383, 63.488, -29.879, -34.091, 0.104, 4.340, 196.942, 37.671
200.641, 62.876, -30.559, -33.961, 0.101, 4.360, 198.193, 37.800
201.886, 62.252, -31.235, -33.823, 0.098, 4.380, 199.431, 37.923
203.118, 61.614, -31.909, -33.676, 0.095, 4.400, 200.658, 38.042
204.337, 60.962, -32.579, -33.522, 0.092, 4.420, 201.872, 38.156
205.543, 60.297, -33.246, -33.360, 0.089, 4.440, 203.073, 38.264
