Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
87.424, 36.977, -33.993, -48.821, 6.125, 3.300, 81.091, -38.894
88.150, 36.278, -34.917, -46.214, 6.135, 3.320, 81.808, -39.005
88.861, 35.563, -35.790, -43.635, 6.144, 3.340, 82.512, -39.106
89.558, 34.830, -36.612, -41.109, 6.153, 3.360, 83.203, -39.200
90.239, 34.083, -37.385, -38.654, 6.162, 3.380, 83.879, -39.285
90.906, 33.321, -38.110, -36.286, 6.170, 3.400, 84.541, -39.363
91.557, 32.545, -38.791, -34.021, 6.178, 3.420, 85.188, -39.434
92.192, 31.756, -39.428, -31.867, 6.185, 3.440, 85.820, -39.498
92.811, 30.956, -40.025, -29.831, 6.193, 3.460, 86.436, -39.556
93.414, 30.144, -40.583, -27.921, 6.199, 3.480, 87.036, -39.609
94.000, 29.322, -41.106, -26.137, 6.206, 3.500, 87.621, -39.656
94.570, 28.490, -41.596, -24.481, 6.212, 3.520, 88.189, -39.699
95.123, 27.649, -42.055, -22.954, 6.218, 3.540, 88.741, -39.736
95.659, 26.799, -42.486, -21.553, 6.223, 3.560, 89.276, -39.770
96.178, 25.941, -42.891, -20.277, 6.228, 3.580, 89.794, -39.800
96.679, 25.082, -42.977, -4.304, 6.233, 3.600, 90.295, -39.827
97.164, 24.227, -42.723, 12.743, 6.237, 3.620, 90.779, -39.850
97.632, 23.379, -42.429, 14.679, 6.241, 3.640, 91.246, -39.870
98.082, 22.536, -42.128, 15.047, 6.245, 3.660, 91.696, -39.889
98.516, 21.706, -41.529, 29.937, 6.249, 3.680, 92.130, -39.904
98.934, 20.893, -40.611, 45.927, 6.252, 3.700, 92.548, -39.918
99.336, 20.100, -39.670, 47.060, 6.255, 3.720, 92.949, -39.930
99.723, 19.325, -38.736, 46.693, 6.258, 3.740, 93.336, -39.941
100.094, 18.569, -37.810, 46.282, 6.260, 3.760, 93.707, -39.950
100.451, 17.831, -36.893, 45.832, 6.263, 3.780, 94.064, -39.957
100.793, 17.111, -35.986, 45.352, 6.265, 3.800, 94.406, -39.964
101.121, 16.410, -35.089, 44.847, 6.267, 3.820, 94.734, -39.970
101.436, 15.726, -34.203, 44.321, 6.268, 3.840, 95.048, -39.975
101.737, 15.059, -33.327, 43.780, 6.270, 3.860, 95.350, -39.979
102.025, 14.410, -32.463, 43.228, 6.272, 3.880, 95.638, -39.983
102.301, 13.778, -31.610, 42.666, 6.273, 3.900, 95.913, -39.986
102.564, 13.162, -30.768, 42.101, 6.274, 3.920, 96.177, -39.988
102.815, 12.564, -29.937, 41.532, 6.275, 3.940, 96.428, -39.990
103.055, 11.981, -29.118, 40.964, 6.276, 3.960, 96.667, -39.992
103.283, 11.415, -28.310, 40.399, 6.277, 3.980, 96.896, -39.994
103.500, 10.865, -27.513, 39.838, 6.278, 4.000, 97.113, -39.995
103.707, 10.330, -26.727, 39.284, 6.279, 4.020, 97.320, -39.996
103.903, 9.811, -25.952, 38.737, 6.279, 4.040, 97.516, -39.997
104.089, 9.307, -25.188, 38.201, 6.280, 4.060, 97.702, -39.997
104.266, 8.819, -24.435, 37.675, 6.280, 4.080, 97.878, -39.998
104.433, 8.345, -23.692, 37.162, 6.281, 4.100, 98.045, -39.998
104.590, 7.886, -22.958, 36.662, 6.281, 4.120, 98.203, -39.999
104.739, 7.441, -22.235, 36.177, 6.281, 4.140, 98.352, -39.999
104.879, 7.011, -21.521, 35.707, 6.282, 4.160, 98.492, -39.999
105.011, 6.594, -20.816, 35.253, 6.282, 4.180, 98.624, -39.999
105.135, 6.192, -20.119, 34.817, 6.282, 4.200, 98.748, -40.000
105.251, 5.803, -19.431, 34.398, 6.282, 4.220, 98.864, -40.000
105.360, 5.428, -18.751, 33.997, 6.282, 4.240, 98.972, -40.000
105.461, 5.067, -18.079, 33.614, 6.283, 4.260, 99.074, -40.000
105.555, 4.718, -17.414, 33.250, 6.283, 4.280, 99.168, -40.000
105.643, 4.383, -16.756, 32.905, 6.283, 4.300, 99.256, -40.000
105.724, 4.061, -16.104, 32.580, 6.283, 4.320, 99.337, -40.000
105.799, 3.752, -15.459, 32.273, 6.283, 4.340, 99.412, -40.000
105.868, 3.456, -14.819, 31.986, 6.283, 4.360, 99.481, -40.000
105.932, 3.172, -14.185, 31.717, 6.283, 4.380, 99.544, -40.000
105.990, 2.901, -13.556, 31.468, 6.283, 4.400, 99.602, -40.000
106.043, 2.642, -12.931, 31.237, 6.283, 4.420, 99.655, -40.000
106.091, 2.396, -12.310, 31.024, 6.283, 4.440, 99.703, -40.000
106.134, 2.162, -11.694, 30.828, 6.283, 4.460, 99.746, -40.000
106.173, 1.940, -11.081, 30.650, 6.283, 4.480, 99.785, -40.000
106.207, 1.731, -10.471, 30.489, 6.283, 4.500, 99.820, -40.000
